tweet_id_str,date_time,location,tweet_text,media_urls
1844103562055524640,Wed Oct 09 19:52:05 +0000 2024,India,"#ratantata world ' biggest donor. donated 829,734 crore. built multiple free hospitals , schools amp saved millions lives. today , death , whole world crying. unheard instances mr. tata make cry",
1844302483423932785,Thu Oct 10 09:02:32 +0000 2024,India,lot deservedly said said mr. tata ' greatness. must also spoken incredible sense humour. moment always special #ratantata,
1844393799528935737,Thu Oct 10 15:05:23 +0000 2024,India,ratan tata passes away rip #ratantata #ratantatasir #antimdarshan #ratantatapassedaway,
1844225943025422730,Thu Oct 10 03:58:23 +0000 2024,India,"life , demise , mr ratan tata moved nation. fortunate spend time , millions , never met , feel grief feel today. impact. love animals philanthropy , showed true progress achieved care means take care themselves. rest peace , mr tata. legacy continue live institutions built values embraced .",
1844329803236901228,Thu Oct 10 10:51:05 +0000 2024,India,man gave indians wheels .. begins final journey. #ratantata #ratantatasir #tatamotors,
1844317396108181820,Thu Oct 10 10:01:47 +0000 2024,India,# #ratantata,
1844091531919229411,Wed Oct 09 19:04:17 +0000 2024,India,. #ratantata #tata #rip #ripratantata #mumbai,
1844084321549942951,Wed Oct 09 18:35:38 +0000 2024,India,true bharat ratna om shanti #ratantata,
1446431109122650118,Fri Oct 08 11:03:44 +0000 2021,India,"welcome back , air india",
1844094065698275711,Wed Oct 09 19:14:21 +0000 2024,India,1500 ! om shanti #ratantata rip,
1844092004676067671,Wed Oct 09 19:06:10 +0000 2024,India,"6 days ago , #ratantata congratulated pm modi completion 10 years swachh bharat , om shanti .",
1844082581534539778,Wed Oct 09 18:28:43 +0000 2024,India,"shri ratan tata ji visionary business leader , compassionate soul extraordinary human being. provided stable leadership one india oldest prestigious business houses. time , contribution went far beyond boardroom. endeared several people thanks humility , kindness unwavering commitment making society better .",
1844221910890184973,Thu Oct 10 03:42:22 +0000 2024,India,ratan tata passes away 86. #ratantata,
1844078957106430352,Wed Oct 09 18:14:19 +0000 2024,India,ratan tata shri jrd tata #legends #rip,
1844081334190309407,Wed Oct 09 18:23:46 +0000 2024,India,"unable accept absence ratan tata. india economy stands cusp historic leap forward. ratan life work much position. hence , mentorship guidance point time would invaluable. gone , commit emulating example. businessman financial wealth success useful put service global community. goodbye godspeed , mr. forgotten. legends never die om shanti",
1844097705842442284,Wed Oct 09 19:28:49 +0000 2024,India,deeply saddened passing mr. ratan tata .,
1844322310431572230,Thu Oct 10 10:21:19 +0000 2024,India,ratan tata love dogs legendary. pet goa meeting last time #ratan #ratantata,
